model,threshold,n_signals,roi,roi_ci_lo_95,roi_ci_hi_95,ci_covers_zero,mean_price_clv,mean_odds_clv
M4_LGBM,0.06,1328,-0.058501506024096386,-0.1619582078313253,0.056917921686746954,True,-0.03666948027225063,0.0017299583912684976
M4_LGBM,0.07,1298,-0.05302003081664098,-0.16043567026194144,0.05558879044684129,True,-0.03672348002841708,0.0016569966751019648
M4_LGBM,0.08,1266,-0.06206951026856239,-0.17481003159557662,0.059077804107424955,True,-0.0366871257260397,0.001693040587454546
M4_LGBM,0.1,1198,-0.07212854757929883,-0.18930154424040066,0.049529841402337224,True,-0.0361497828456852,0.0022799793354420323
M6_market_elo_blend,0.02,71,-0.5547887323943663,-0.8345211267605633,-0.202637323943662,False,-0.05559907760115012,-0.015724978568314677
M6_market_elo_blend,0.03,49,-0.4471428571428571,-0.8232295918367346,-0.005948979591836906,False,-0.04919300019282438,-0.009037938341664633
M6_market_elo_blend,0.04,41,-0.33926829268292685,-0.7882926829268293,0.19678048780487767,True,-0.05596972585639131,-0.0160468007298595
M6_market_elo_blend,0.05,28,-0.25928571428571423,-0.8096428571428572,0.40678571428571425,True,-0.05111520841949102,-0.011078651966424284
M6_market_elo_blend,0.06,20,-0.22950000000000004,-1.0,0.7045,True,-0.0582837134048549,-0.018083907105504855
M6_market_elo_blend,0.07,12,0.005000000000000042,-1.0,1.4633333333333336,True,-0.06101628208046029,-0.020891086149355587
M6_market_elo_blend,0.08,5,0.324,-1.0,2.972,True,-0.05330354524530945,-0.01305494771872342
M6_market_elo_blend,0.1,2,-1.0,-1.0,-1.0,False,-0.027876989044783085,0.013239890764320694
M7_market_residual,0.02,1454,-0.10501375515818431,-0.19488428473177444,-0.010266678129298507,False,-0.03500451643705905,0.0034878104739594607
M7_market_residual,0.03,1425,-0.11181052631578946,-0.20228947368421052,-0.014447719298245648,False,-0.034950182890836956,0.003543636428271258
M7_market_residual,0.04,1399,-0.11621157969978554,-0.2052494639027877,-0.011937991422444616,False,-0.034923730815681994,0.00358208971248952
M7_market_residual,0.05,1372,-0.11795918367346939,-0.2115112973760933,-0.01558965014577264,False,-0.034415605085926455,0.004115435816490858
M7_market_residual,0.06,1339,-0.11696788648244959,-0.2149880507841673,-0.019699589245705744,False,-0.034652644716673224,0.0038779155776476745
M7_market_residual,0.07,1314,-0.11921613394216134,-0.22111986301369863,-0.0027420091324201015,False,-0.03419848066217185,0.004340592174460867
M7_market_residual,0.08,1289,-0.1087509697439876,-0.20914778898370834,-0.0031316912335143487,False,-0.033849836899865975,0.004712419301504058
M7_market_residual,0.1,1232,-0.10922077922077922,-0.22067248376623377,-0.010261566558441569,False,-0.033464197470644545,0.00513604385569258
