model,threshold,n_signals,roi,roi_ci_lo_95,roi_ci_hi_95,ci_covers_zero,mean_price_clv,mean_odds_clv
M2_Elo,0.08,1339,-0.16280059746079165,-0.2376626213592233,-0.07846882001493652,False,-0.055268362617636235,-0.010027955635222456
M2_Elo,0.1,1297,-0.15722436391673092,-0.23556303006939092,-0.06808519660755592,False,-0.05532086631966095,-0.010066279262747085
M3_LGBM_dmwd,0.02,1322,-0.1146822995461422,-0.208714636913767,-0.014065052950075681,False,-0.05667215035091991,-0.011568849637219115
M3_LGBM_dmwd,0.03,1278,-0.11374021909233176,-0.21367723004694839,-0.008324139280125245,False,-0.05668119257563295,-0.011586315613981905
M3_LGBM_dmwd,0.04,1244,-0.11745176848874599,-0.216134847266881,-0.012701165594855327,False,-0.057256120756931796,-0.012181145761620351
M3_LGBM_dmwd,0.05,1198,-0.11650250417362269,-0.22310809682804675,-0.0014492904841402674,False,-0.05846309278433259,-0.013442569655340185
M3_LGBM_dmwd,0.06,1160,-0.11403448275862069,-0.2197405172413793,-0.015439224137931105,False,-0.058511083033627447,-0.01352325636744467
M3_LGBM_dmwd,0.07,1107,-0.11363143631436312,-0.2281070460704607,0.0026806684733513757,True,-0.05872529465117769,-0.013749815334227844
M3_LGBM_dmwd,0.08,1078,-0.1061038961038961,-0.21921753246753248,0.010609461966604816,True,-0.059068533077716284,-0.014093822033894877
M3_LGBM_dmwd,0.1,995,-0.10976884422110551,-0.22187361809045225,0.011891959798994984,True,-0.05870124073080356,-0.013639237116747485
M4_LGBM,0.02,1353,-0.09739098300073909,-0.19049815225424982,-0.004379157427937943,False,-0.055184803307064316,-0.009994661809588749
M4_LGBM,0.03,1319,-0.10695223654283548,-0.2016652767247915,-0.015265731614859753,False,-0.05501712803859466,-0.009810972294482558
M4_LGBM,0.04,1290,-0.1094031007751938,-0.19637286821705424,-0.016804457364341076,False,-0.055072079427458245,-0.009869335024444427
M4_LGBM,0.05,1254,-0.11160287081339712,-0.20731957735247208,-0.016028508771929822,False,-0.05504715805995464,-0.009840880224716759
M4_LGBM,0.06,1215,-0.11308641975308642,-0.22467510288065845,-0.01263436213991772,False,-0.0542702765733779,-0.009042247212748124
M4_LGBM,0.07,1168,-0.12560787671232876,-0.22072688356164383,-0.020823416095890435,False,-0.05483232654036414,-0.009622402030806785
M4_LGBM,0.08,1140,-0.12233333333333334,-0.22577368421052627,-0.012533991228070175,False,-0.05488935150422887,-0.009661713484002304
M4_LGBM,0.1,1070,-0.12209345794392522,-0.2327801401869159,-0.00979929906542058,False,-0.055830665695687606,-0.010645284954580647
M6_market_elo_blend,0.02,46,-0.08239130434782607,-0.8150000000000001,0.9266684782608691,True,-0.04551145295589691,0.0027582379070625884
M6_market_elo_blend,0.03,37,0.06351351351351346,-0.8486486486486486,1.223601351351351,True,-0.05097381887709527,-0.003301171756670314
M6_market_elo_blend,0.04,24,-0.6329166666666667,-1.0,-0.015416666666666709,False,-0.061124911506858996,-0.014156825893320199
M6_market_elo_blend,0.05,19,-0.6836842105263158,-1.0,-0.051052631578947405,False,-0.038273271648432736,0.009638454580951951
M6_market_elo_blend,0.06,11,-1.0,-1.0,-1.0,False,-0.012819779436347621,0.03566998430671628
M6_market_elo_blend,0.07,8,-1.0,-1.0,-1.0,False,0.008940816483335084,0.058860691500606147
M6_market_elo_blend,0.08,6,-1.0,-1.0,-1.0,False,-0.006649794041621582,0.0431461891872818
M6_market_elo_blend,0.1,3,-1.0,-1.0,-1.0,False,-0.05327052009875973,-0.0067181730249508504
M7_market_residual,0.02,1374,-0.04776564774381369,-0.14262900291120817,0.04498871906841335,True,-0.045639092052953044,7.380294532035586e-05
M7_market_residual,0.03,1350,-0.046925925925925926,-0.13823592592592596,0.04685388888888885,True,-0.04518297849637564,0.0005707819453074845
M7_market_residual,0.04,1323,-0.03997732426303854,-0.13635166288737716,0.04875151171579743,True,-0.04564196755598271,9.582125448592038e-05
M7_market_residual,0.05,1293,-0.045862335653518944,-0.13636233565351893,0.04686291569992266,True,-0.04541719989387563,0.00034485629502815755
M7_market_residual,0.06,1272,-0.043482704402515726,-0.13919988207547168,0.04827928459119496,True,-0.04566191385186842,0.00011414808407162437
M7_market_residual,0.07,1245,-0.04427309236947791,-0.14104377510040159,0.04749076305220883,True,-0.04565398794101017,0.0001454085842143262
M7_market_residual,0.08,1222,-0.04805237315875614,-0.14282201309328968,0.04603539279869064,True,-0.04584899300096023,-3.31842341465868e-05
