season,date,home_team,away_team,y,m4_p_away,m4_p_draw,m4_p_home,ps_open_home,ps_open_draw,ps_open_away,ps_close_home,ps_close_draw,ps_close_away
2425,2024-11-23,Leverkusen,Heidenheim,2,0.15606247495639805,0.19550138979650908,0.648436135247093,1.19,8.07,13.4,1.21,7.42,13.66
2425,2024-11-23,Stuttgart,Bochum,2,0.10102063630960771,0.16960887634731078,0.7293704873430816,1.33,6.24,7.44,1.34,6.01,8.33
2425,2024-11-23,Wolfsburg,Union Berlin,2,0.2679954426754046,0.1952047040384869,0.5367998532861086,2.37,3.28,3.27,2.18,3.31,3.74
2425,2024-11-24,Kiel,Mainz,0,0.41346551205093474,0.2569867685027609,0.32954771944630434,3.15,3.49,2.33,3.35,3.39,2.3
2425,2024-11-24,M'gladbach,St Pauli,2,0.21434830207028086,0.20420533784851397,0.5814463600812052,1.83,3.77,4.49,1.92,3.75,4.14
2425,2024-11-29,St Pauli,Kiel,2,0.28956592910066964,0.23860082828045964,0.4718332426188707,1.71,3.83,5.22,1.67,3.84,5.61
2425,2024-11-30,Augsburg,Bochum,2,0.18433009378188853,0.24838843087389595,0.5672814753442155,1.72,3.99,4.88,1.82,3.8,4.61
2425,2024-11-30,Dortmund,Bayern Munich,1,0.4498907885160924,0.27915770758400854,0.27095150389989897,4.67,4.38,1.68,4.69,4.17,1.73
2425,2024-11-30,Freiburg,M'gladbach,2,0.3217348118864304,0.28531666329335525,0.3929485248202143,2.01,3.78,3.69,2.08,3.71,3.59
2425,2024-11-30,RB Leipzig,Wolfsburg,0,0.14848207381259082,0.18183248129822321,0.6696854448891859,1.7,4.17,4.8,1.79,3.89,4.64
2425,2024-11-30,Union Berlin,Leverkusen,0,0.48823936957893155,0.1409510000225721,0.3708096303984962,4.72,3.84,1.78,4.88,3.47,1.9
2425,2024-11-30,Werder Bremen,Stuttgart,1,0.42910560659183267,0.218974295686714,0.35192009772145333,3.02,3.75,2.3,2.57,3.56,2.8
2425,2024-12-01,Heidenheim,Ein Frankfurt,0,0.5355494683399284,0.1587570184245492,0.3056935132355224,3.85,3.73,1.97,4.09,3.54,1.99
2425,2024-12-01,Mainz,Hoffenheim,2,0.4058488325562328,0.25665294125192056,0.33749822619184666,2.08,3.7,3.53,2.15,3.57,3.52
2425,2024-12-06,Stuttgart,Union Berlin,2,0.13820839548685168,0.20013552778168364,0.6616560767314648,1.84,3.61,4.78,1.93,3.51,4.42
2425,2024-12-07,Bayern Munich,Heidenheim,2,0.11380870538295233,0.13810178775100093,0.7480895068660468,1.09,14.33,22.78,1.11,11.25,24.0
2425,2024-12-07,Bochum,Werder Bremen,0,0.48061990937248694,0.1781601804918896,0.34121991013562336,3.21,3.59,2.25,3.62,3.8,2.05
2425,2024-12-07,Ein Frankfurt,Augsburg,1,0.12001811847454866,0.22364282789601558,0.6563390536294358,1.56,4.43,5.91,1.54,4.4,6.39
2425,2024-12-07,Kiel,RB Leipzig,0,0.5843910343500934,0.1552791265103155,0.2603298391395911,5.49,4.42,1.59,6.95,4.91,1.46
2425,2024-12-07,Leverkusen,St Pauli,2,0.11010431053506475,0.1586560591146279,0.7312396303503074,1.24,6.76,11.47,1.28,6.06,11.8
2425,2024-12-07,M'gladbach,Dortmund,1,0.4988493908881257,0.27166392836272363,0.2294866807491507,3.24,3.87,2.14,3.45,3.88,2.08
2425,2024-12-08,Hoffenheim,Freiburg,1,0.3304592797065137,0.2696016952105048,0.39993902508298157,2.73,3.45,2.54,2.51,3.3,3.07
2425,2024-12-08,Wolfsburg,Mainz,2,0.2594153840367708,0.16781446343983616,0.5727701525233931,2.15,3.34,3.5,2.13,3.45,3.72
2425,2024-12-13,Freiburg,Wolfsburg,2,0.2881968174318476,0.26295973958609425,0.44884344298205825,2.26,3.45,3.38,2.32,3.46,3.25
2425,2024-12-14,Augsburg,Leverkusen,0,0.6612286725569723,0.1199620481268491,0.21880927931617875,5.59,4.28,1.6,6.3,4.09,1.59
2425,2024-12-14,M'gladbach,Kiel,2,0.1817018651931023,0.1786704079067683,0.6396277269001294,1.46,4.89,6.75,1.43,5.29,7.5
2425,2024-12-14,Mainz,Bayern Munich,2,0.4429372391277252,0.28013048100740423,0.27693227986487073,6.86,4.87,1.46,6.26,4.59,1.53
2425,2024-12-14,St Pauli,Werder Bremen,0,0.37893626539961983,0.22153180136231537,0.39953193323806474,2.69,3.36,2.75,3.0,3.19,2.63
2425,2024-12-14,Union Berlin,Bochum,0,0.16033600782011642,0.2540708678758413,0.5855931243040423,1.6,4.01,6.13,1.67,3.93,5.68
2425,2024-12-15,Dortmund,Hoffenheim,1,0.11626312657802142,0.11679895973990681,0.7669379136820718,1.45,5.13,6.46,1.36,5.51,8.55
2425,2024-12-15,Heidenheim,Stuttgart,0,0.496662232051996,0.27603167311741933,0.22730609483058462,4.27,3.93,1.83,4.72,4.07,1.75
2425,2024-12-15,RB Leipzig,Ein Frankfurt,2,0.3645061179716874,0.1703064221517166,0.46518745987659593,2.11,3.92,3.29,2.3,3.76,3.06
