model,threshold,signal_count,unique_matches,roi,roi_ci_lo,roi_ci_hi,avg_odds,avg_edge,closing_price_edge,odds_clv,max_drawdown,p_mean_signal,y_mean_realized,calibration_gap,share_home,share_draw,share_away
M3_LGBM_uncal,0.08,1083,1083,0.08686057248384117,-0.042038781163434895,0.21741989843028622,5.25174515235457,0.49049968276393674,-0.018793393998708375,-0.002611641462372473,44.059999999999974,0.34536602112995096,0.2696214219759926,0.07574459915395837,0.3656509695290859,0.2760849492151431,0.358264081255771
M3_LGBM_uncal,0.1,1021,1021,0.10322233104799217,-0.033851371204701254,0.2500871694417238,5.369598432908913,0.5148683182296867,-0.018439332861342545,-0.0029407813404342302,36.34,0.3430309904418939,0.267384916748286,0.07564607369360787,0.3604309500489716,0.2732615083251714,0.366307541625857
M4_LGBM_uncal,0.02,1192,1192,0.06578859060402684,-0.056531459731543596,0.18422588087248318,5.003531879194631,0.4406604975429242,-0.019890391222367756,-0.003047738284193572,53.919999999999945,0.3584505015422278,0.28859060402684567,0.06985989751538213,0.3951342281879195,0.24664429530201343,0.35822147651006714
M4_LGBM_uncal,0.03,1176,1176,0.06700680272108843,-0.04501381802721088,0.1993005952380952,5.033061224489796,0.44630575934886924,-0.019866955762327866,-0.003232235949420508,54.85999999999997,0.35768118495232426,0.28741496598639454,0.07026621896592972,0.39285714285714285,0.24489795918367346,0.3622448979591837
M4_LGBM_uncal,0.04,1153,1153,0.06799653078924545,-0.05318777103209019,0.1948510407632264,5.074232437120555,0.4545140938168184,-0.019862672784452702,-0.0033719955550224902,53.06999999999998,0.3568145650027084,0.2862098872506505,0.07060467775205792,0.39288811795316564,0.24371205550737207,0.3633998265394623
M4_LGBM_uncal,0.05,1125,1125,0.07702222222222223,-0.048524444444444446,0.20211199999999999,5.125404444444444,0.464692991051139,-0.019517953121461123,-0.0032085505441158233,49.11999999999995,0.3553060865399794,0.2853333333333333,0.06997275320664609,0.39022222222222225,0.24533333333333332,0.36444444444444446
M4_LGBM_uncal,0.06,1102,1102,0.07731397459165155,-0.0461043557168784,0.2045995916515426,5.160943738656987,0.4732283576505089,-0.019523535452380683,-0.0034412799706347785,50.19999999999996,0.354477061464918,0.2822141560798548,0.07226290538506319,0.39019963702359345,0.24591651542649728,0.36388384754990927
M4_LGBM_uncal,0.07,1090,1090,0.07787155963302753,-0.050657798165137616,0.200255504587156,5.178568807339449,0.4777288248160186,-0.019124700220569852,-0.0029640771691554994,50.17999999999995,0.35465033500941956,0.281651376146789,0.07299895886263058,0.39174311926605504,0.24587155963302754,0.3623853211009174
M4_LGBM_uncal,0.08,1063,1063,0.078137347130762,-0.0519442615239887,0.2170531514581373,5.242812793979304,0.48796422255157496,-0.01847225495660933,-0.0024411186135672195,46.39999999999996,0.3516775272732216,0.27657572906867356,0.07510179820454804,0.3885230479774224,0.24741298212605833,0.3640639698965193
M4_LGBM_uncal,0.1,1013,1013,0.07345508390918067,-0.05956663376110563,0.20607403751233955,5.334758144126358,0.5076688574215138,-0.018521347383265913,-0.0027847193897499014,42.55999999999996,0.35009454705172877,0.2724580454096742,0.07763650164205455,0.3810463968410661,0.25074037512339586,0.368213228035538
