model,class,fav_side,n,roi,closing_price_edge,avg_odds,avg_edge,avg_p_model,realised_rate,calib_gap
M3_LGBM_uncal,home,p_quintile_Q1,44,1.0636363636363635,-0.0033974685456198946,8.598863636363637,0.7802945496164628,0.2086975367208545,0.22727272727272727,0.01857519055187276
M3_LGBM_uncal,home,p_quintile_Q2,69,0.22478260869565225,0.012857248817008513,6.875072463768116,0.8662495650196669,0.2713232432483807,0.18840579710144928,0.08291744614693142
M3_LGBM_uncal,home,p_quintile_Q4,91,-0.09483516483516483,-0.006904337397324763,3.38989010989011,0.3889716346949939,0.41369015314738056,0.2857142857142857,0.12797586743309486
M3_LGBM_uncal,home,p_quintile_Q3,58,0.2831034482758621,-0.020174267571334312,4.7986206896551735,0.5790248948427317,0.3302102551460383,0.27586206896551724,0.05434818618052106
M3_LGBM_uncal,home,p_quintile_Q5,176,0.10056818181818179,-0.0362161881952662,2.357840909090909,0.28096208946485357,0.5565278736704324,0.48863636363636365,0.06789151003406879
M2_Elo_Platt,away,season_2021,134,-0.2865671641791045,0.022290385617525804,6.558358208955223,0.4373705020103074,0.2705068203318152,0.16417910447761194,0.10632771585420328
M2_Elo_Platt,away,season_2122,142,-0.05943661971830986,-0.03372965154055898,7.071971830985916,0.5266147056151042,0.26993977886230447,0.19014084507042253,0.07979893379188194
M2_Elo_Platt,away,season_2223,143,-0.1048951048951049,-0.01659242255908982,5.088391608391608,0.2945392029238404,0.3257657018549132,0.26573426573426573,0.060031436120647486
M2_Elo_Platt,away,season_2324,115,-0.1788695652173913,-0.06504527438719267,6.014260869565218,0.34754547289721854,0.2859109792615556,0.1826086956521739,0.1033022836093817
M2_Elo_Platt,draw,season_2122,16,0.4256250000000001,-0.026081973381516597,4.81,0.14601958162436027,0.24278876516870318,0.25,0.00721123483129682
M2_Elo_Platt,draw,season_2223,25,0.17920000000000003,0.004961548881593027,5.1136,0.22049683535736783,0.24805151298117356,0.24,0.00805151298117357
M2_Elo_Platt,draw,season_2324,34,-0.2297058823529412,0.02285279798603252,6.349117647058824,0.4429687035819899,0.23801025914105925,0.14705882352941177,0.09095143561164748
M2_Elo_Platt,home,season_2021,137,0.10934306569343064,-0.019956314809822302,4.392262773722628,0.28360548842128364,0.3575906268071424,0.27007299270072993,0.08751763410641245
M2_Elo_Platt,home,season_2122,106,0.4235849056603773,0.0054063375506098925,4.547169811320755,0.28839173119952155,0.34560167078656717,0.3490566037735849,0.0034549329870177115
M2_Elo_Platt,home,season_2223,90,0.31266666666666665,-0.01944023996965698,3.7419999999999995,0.23344929586481306,0.4166508115684789,0.43333333333333335,0.016682521764854463
M2_Elo_Platt,home,season_2324,94,-0.17872340425531907,-0.032944914368767224,4.215212765957447,0.28485357238300635,0.37902497846788663,0.23404255319148937,0.14498242527639726
M3_LGBM_uncal,away,season_2021,39,-0.44897435897435894,0.03867009778000532,8.944102564102565,0.5438674255499466,0.24646823685872418,0.15384615384615385,0.09262208301257033
M3_LGBM_uncal,away,season_2122,116,-0.032586206896551735,-0.026013313190398245,7.903879310344827,0.6920344048779088,0.26512512574826086,0.1724137931034483,0.09271133264481257
M3_LGBM_uncal,away,season_2223,119,-0.18823529411764706,-0.01699918574621149,5.840756302521008,0.5148064237778458,0.3242480282827266,0.20168067226890757,0.12256735601381902
M3_LGBM_uncal,away,season_2324,133,-0.2604511278195489,-0.062214279775462226,5.881729323308271,0.5069107656881491,0.33637676986854825,0.17293233082706766,0.1634444390414806
