model,method,policy,threshold,signal_count,unique_matches,roi,roi_ci_lo,roi_ci_hi,avg_odds,avg_edge,closing_price_edge,odds_clv,model_vs_close,max_drawdown,p_mean_signal,y_mean_realized,calibration_gap,share_home,share_draw,share_away
M1_DC,isotonic,all,0.07,1209,963,-0.01862696443341604,-0.1372198116450718,0.08736629452322188,5.167832919768403,0.46552257778785944,-0.01939317863034979,-0.005053699025422325,0.5040930935162544,78.08000000000001,0.3354907646532353,0.24483043837882548,0.09066032627440981,0.2787427626137304,0.2679900744416873,0.4532671629445823
M1_DC,isotonic,all,0.08,1146,917,-0.04938917975567189,-0.1617849584695083,0.06757533984983882,5.262076788830716,0.4869620255963202,-0.018974913191990926,-0.005048778491267681,0.5257553289662737,83.62,0.33327753531960264,0.23298429319371727,0.10029324212588536,0.27835951134380454,0.2600349040139616,0.46160558464223383
M1_DC,isotonic,all,0.1,1062,862,-0.03464218455743882,-0.15175902272530423,0.09176170716409343,5.388954802259888,0.5183376040247494,-0.018772204331009495,-0.005519527222972083,0.5579750217840492,71.27,0.3332389437966775,0.2335216572504708,0.09971728654620671,0.2815442561205273,0.24293785310734464,0.4755178907721281
M1_DC,isotonic,one_per,0.02,1147,1147,-0.005605928509154308,-0.12097537053182215,0.11041761115954664,4.763949433304272,0.4398179076503257,-0.019398104893637635,-0.004442484403164176,0.4779156040253596,63.43,0.36613841823388343,0.2798605056669573,0.08627791256692613,0.35135135135135137,0.12554489973844812,0.5231037489102005
M1_DC,isotonic,one_per,0.03,1116,1116,0.004525089605734773,-0.11157795698924729,0.11924977598566294,4.804426523297491,0.4513253860843972,-0.019117006781548953,-0.004454907276858001,0.48954253233504247,60.789999999999985,0.3653816406835521,0.28046594982078854,0.08491569086276357,0.35125448028673834,0.12007168458781362,0.5286738351254481
M1_DC,isotonic,one_per,0.04,1087,1087,-0.0022723091076357034,-0.12040041398344065,0.12060188592456299,4.845252989880405,0.4624319458098568,-0.019392021755034416,-0.004964757680450568,0.5013102531189678,67.36999999999998,0.36478075718006725,0.2750689972401104,0.08971175993995684,0.34774609015639374,0.12051517939282429,0.531738730450782
M1_DC,isotonic,one_per,0.05,1051,1051,-0.002530922930542346,-0.12255447193149382,0.12397335870599425,4.9084776403425305,0.47676058230035373,-0.01939062278740983,-0.0053029433439154144,0.5161491375995714,69.56,0.3631871782460485,0.2702188392007612,0.09296833904528734,0.34443387250237867,0.11893434823977164,0.5366317792578497
M1_DC,isotonic,one_per,0.06,1007,1007,-0.009860973187686197,-0.13090392254220456,0.12593272095332672,5.002760675273088,0.49517130992130876,-0.018318338247611903,-0.004633357504109568,0.5339867765951727,68.49,0.3602487056799504,0.26216484607745777,0.0980838596024926,0.3416087388282026,0.11320754716981132,0.5451837140019861
M1_DC,isotonic,one_per,0.07,963,963,-0.002056074766355152,-0.13696599169262721,0.13286552440290758,5.096095534787124,0.5148100985665796,-0.018179061305283666,-0.005077301238868477,0.5541834878675861,64.92000000000002,0.3575569138656446,0.25960539979231567,0.09795151407332892,0.3395638629283489,0.10799584631360332,0.5524402907580478
M1_DC,isotonic,one_per,0.08,917,917,-0.04158124318429662,-0.1762033805888768,0.08896346782987999,5.184056706652127,0.5368494860719328,-0.017598764888258716,-0.0047517577351274785,0.576294910773624,71.46000000000001,0.35508189002520446,0.24536532170119957,0.10971656832400489,0.33805888767720826,0.09923664122137404,0.5627044711014176
M1_DC,isotonic,one_per,0.1,862,862,-0.03374709976798143,-0.16905220417633413,0.10433207656612525,5.31278422273782,0.5653681556667837,-0.01769765450352655,-0.00542231065847173,0.6059089337235614,67.11,0.3535807652168839,0.24361948955916474,0.10996127565771918,0.3375870069605568,0.09048723897911833,0.5719257540603249
M2_Elo,uncalibrated,all,0.02,1504,1209,-0.009920212765957457,-0.08732932239444192,0.07702842470310406,3.894308510638297,0.281854965653907,-0.024201662686665276,-0.005113708370688573,0.3223817692815911,62.29000000000001,0.47047996653314705,0.3703457446808511,0.10013422185229598,0.6728723404255319,0.007978723404255319,0.3191489361702128
M2_Elo,uncalibrated,all,0.03,1463,1199,-0.0015447710184552325,-0.08776852445266216,0.08527566052595724,3.9330416951469584,0.2890476782153989,-0.024099280724500568,-0.005227287212120384,0.32977104418200004,61.45000000000001,0.469184328105635,0.3697881066302119,0.0993962214754231,0.6766917293233082,0.00683526999316473,0.316473000683527
M2_Elo,uncalibrated,all,0.04,1415,1190,-0.003102473498233231,-0.09861095607150999,0.08776746179563788,3.967830388692579,0.2976889523484702,-0.023427350534804114,-0.0046327094691654275,0.3380872745893491,61.99,0.4674833463405647,0.36325088339222616,0.10423246294833854,0.6812720848056537,0.007067137809187279,0.311660777385159
M2_Elo,uncalibrated,all,0.05,1367,1178,0.0025164594001463015,-0.08719723066433399,0.10391386107852219,3.9835844915874175,0.30656592242444375,-0.022622099150596615,-0.003701343578096095,0.34628849726937344,59.82,0.46634462577175245,0.36137527432333577,0.10496935144841668,0.6847110460863204,0.0073152889539136795,0.3079736649597659
M2_Elo,uncalibrated,all,0.06,1315,1164,0.020501901140684394,-0.07549490823772202,0.12414350252209175,4.029133079847909,0.3164778781888813,-0.02226326823938002,-0.0034696242925482887,0.35624690169162476,56.27000000000001,0.4660869764647745,0.3634980988593156,0.10258887760545887,0.6927756653992395,0.006844106463878327,0.30038022813688214
M2_Elo,uncalibrated,all,0.07,1278,1148,0.0180281690140845,-0.07286280018917292,0.11311439411246074,4.029076682316119,0.32378752151598333,-0.021850184011979083,-0.0030423027694791265,0.36333797076376056,53.88000000000001,0.46770530706108887,0.3615023474178404,0.1062029596432485,0.6987480438184663,0.006259780907668232,0.2949921752738654
M2_Elo,uncalibrated,all,0.08,1229,1130,0.023653376729048013,-0.07399547912226695,0.13094208990760245,4.082026037428804,0.3337039621974671,-0.02186601551066416,-0.0033878166630693456,0.3736349452851569,53.269999999999996,0.4657509578328974,0.3580146460537022,0.10773631177919518,0.7030105777054516,0.006509357200976403,0.290480065093572
M2_Elo,uncalibrated,all,0.1,1144,1088,0.01976398601398601,-0.0865225644933887,0.14469727036064373,4.166057692307692,0.3518478610004084,-0.02213040035595128,-0.00404617350681881,0.3928426570042757,52.22,0.46580574688839177,0.3505244755244755,0.11528127136391625,0.708041958041958,0.0026223776223776225,0.2893356643356643
M2_Elo,uncalibrated,one_per,0.02,1209,1209,0.014483043837882542,-0.08367328370554176,0.11781430934656736,4.118858560794044,0.33391175946915413,-0.02257157847799886,-0.004303353734026382,0.3745830034881298,55.32,0.46588923496974183,0.35401157981803144,0.11187765515171039,0.707196029776675,0.0024813895781637717,0.2903225806451613
M2_Elo,uncalibrated,one_per,0.03,1199,1199,0.014628857381150955,-0.08354128440366972,0.12469015846538782,4.1331693077564635,0.33649400098577165,-0.022474942605373565,-0.004256454476118399,0.3771694764670155,55.32,0.4654164251637445,0.35279399499582986,0.11262243016791462,0.7097581317764804,0.0008340283569641367,0.28940783986655544
M2_Elo,uncalibrated,one_per,0.04,1190,1190,0.01696638655462185,-0.08666827731092434,0.13204012605042012,4.135840336134454,0.3387761399389406,-0.022294751760076018,-0.0040718267860036916,0.3793317992564496,55.32,0.4650297243836316,0.3521008403361345,0.11292888404749712,0.7084033613445379,0.0008403361344537816,0.2907563025210084
M2_Elo,uncalibrated,one_per,0.05,1178,1178,0.020738539898132423,-0.08300848896434636,0.13265152801358235,4.124320882852292,0.3417672076795942,-0.022129831045588716,-0.003758508971286307,0.3822265370214296,55.32,0.4658718965074755,0.3531409168081494,0.1127309796993261,0.7096774193548387,0.0008488964346349745,0.2894736842105263
