cut,value,n,roi,closing_price_edge,avg_odds,avg_edge,calib_gap,model,method
class,all,1167,0.08400171379605825,-0.019836787197426965,5.080685518423308,0.45961848232384434,0.07025463876692062,M3_LGBM_dmwd,uncalibrated
class,home,438,0.20045662100456624,-0.01697440591848056,4.234041095890411,0.4852360058753847,0.0722623285404882,M3_LGBM_dmwd,uncalibrated
class,draw,322,0.2750310559006211,-0.012136422473606051,4.135590062111802,0.29091143313706536,0.0010998075844326771,M3_LGBM_dmwd,uncalibrated
class,away,407,-0.19245700245700248,-0.029009368134156343,6.739533169533169,0.5655231371704492,0.12454644123452055,M3_LGBM_dmwd,uncalibrated
odds_bucket,6.0+,264,0.06450757575757575,-0.007775992129699407,10.336287878787878,1.0432512103831861,0.1012699292513574,M3_LGBM_dmwd,uncalibrated
odds_bucket,3.5-6.0,514,0.1711089494163424,-0.015476764027375549,4.245291828793774,0.333380978797659,0.03664382544784517,M3_LGBM_dmwd,uncalibrated
odds_bucket,2.0-3.5,320,-0.026000000000000002,-0.03143788126819473,2.801,0.2549924184718592,0.10179121748700709,M3_LGBM_dmwd,uncalibrated
odds_bucket,1.0-2.0,69,0.01985507246376811,-0.04465927567048228,1.7678260869565217,0.11595727996773227,0.05570704699425211,M3_LGBM_dmwd,uncalibrated
edge_bucket,>0.20,786,0.0854325699745547,-0.017621287386447578,5.934669211195929,0.6246598192303076,0.09435241813373257,M3_LGBM_dmwd,uncalibrated
edge_bucket,0.05-0.10,125,0.0012000000000000099,-0.028503863965597738,3.0679999999999996,0.07798426727243431,0.008722924197188064,M3_LGBM_dmwd,uncalibrated
edge_bucket,0.10-0.20,235,0.16272340425531917,-0.021175433896523155,3.4796170212765953,0.14765078722335537,0.013079321651318365,M3_LGBM_dmwd,uncalibrated
edge_bucket,<=0.05,21,-0.3576190476190476,-0.03618994344127667,3.0142857142857142,0.04505631192199294,0.1743884131035348,M3_LGBM_dmwd,uncalibrated
class,all,1134,-0.050740740740740746,-0.0184391861577773,5.445423280423281,0.6069972920756999,0.10687825689087849,M3_LGBM_dmwd,platt
class,home,362,0.21383977900552487,-0.014769951525941767,4.7519889502762425,0.4500365666678571,0.05565688713108258,M3_LGBM_dmwd,platt
class,draw,42,-0.2671428571428572,-0.0035907818355108223,3.944523809523809,0.12523184543639926,0.09593144736559417,M3_LGBM_dmwd,platt
class,away,730,-0.1694931506849315,-0.021113016182790535,5.875643835616438,0.7125506227010285,0.13290825942938267,M3_LGBM_dmwd,platt
odds_bucket,6.0+,310,-0.03387096774193549,0.0005152418176548209,10.154225806451613,1.4595614499737752,0.1488068506836237,M3_LGBM_dmwd,platt
odds_bucket,3.5-6.0,444,-0.04545045045045044,-0.017460394713128522,4.423175675675676,0.36486894296366,0.09117085243770498,M3_LGBM_dmwd,platt
odds_bucket,2.0-3.5,366,-0.0760382513661202,-0.033618850341842615,2.8350546448087433,0.19799583198159995,0.09348347832202664,M3_LGBM_dmwd,platt
odds_bucket,1.0-2.0,14,0.06928571428571426,-0.07234625633207106,1.8414285714285714,0.10018532434591867,0.02678628958072249,M3_LGBM_dmwd,platt
edge_bucket,>0.20,764,-0.04600785340314136,-0.016155367334445263,6.517107329842932,0.8462609301896131,0.13307818298020996,M3_LGBM_dmwd,platt
edge_bucket,0.10-0.20,201,-0.06676616915422887,-0.02382718562167351,3.3552238805970154,0.14854498871667,0.06786440058960436,M3_LGBM_dmwd,platt
edge_bucket,0.05-0.10,150,0.030133333333333342,-0.023721339993633586,3.0864000000000003,0.073870617299322,0.012232363430140947,M3_LGBM_dmwd,platt
edge_bucket,<=0.05,19,-0.71,-0.011572165810624724,3.088421052631579,0.044918064317390996,0.21329539391285118,M3_LGBM_dmwd,platt
class,all,1170,-0.010230769230769217,-0.02543722193985062,4.609128205128205,0.48803600493951527,0.12103832799454295,M3_LGBM_dmwd,isotonic
class,home,260,0.16015384615384612,-0.02605612681982389,4.025769230769231,0.37457937696342225,0.09136275260103094,M3_LGBM_dmwd,isotonic
class,draw,269,0.13713754646840148,-0.013389047407087403,4.859776951672862,0.39225386700568676,0.04997270560126693,M3_LGBM_dmwd,isotonic
