model,policy,threshold,signal_count,roi,roi_ci_lo,roi_ci_hi,avg_odds,avg_edge,closing_price_edge,odds_clv,model_vs_close,max_drawdown,p_mean_signal,y_mean_realized,calibration_gap,share_home,share_draw,share_away
M2_Elo,all,0.1,1127,-0.027231588287488905,-0.15995075421472937,0.11142213842058554,6.03625554569654,0.41833963824731046,-0.015785374979400805,-0.0022570038326292217,0.4529091615121084,68.71,0.2880973777571813,0.20763087843833186,0.08046649931884944,0.3877551020408163,0.35403726708074534,0.25820763087843834
M2_Elo,one_per,0.02,1123,0.07527159394479073,-0.05617720391807658,0.2043114425645592,4.997310774710597,0.3179362819411187,-0.014503528625770897,0.001865558185349223,0.3456848016279046,53.07000000000002,0.32781228528645334,0.27070347284060553,0.05710881244584781,0.5040071237756011,0.23597506678539626,0.26001780943900266
M2_Elo,one_per,0.03,1079,0.0980722891566265,-0.02974930491195552,0.2348044485634847,5.07354031510658,0.3298918447544322,-0.013164564800456425,0.003128371916771715,0.35654726968546724,43.60000000000001,0.326119321993001,0.27340129749768305,0.05271802449531793,0.5088044485634847,0.23076923076923078,0.26042632066728455
M2_Elo,one_per,0.04,1042,0.11003838771593091,-0.016095489443378116,0.26248680422264875,5.150374280230327,0.34034668048576366,-0.012459534802667519,0.003586050185257264,0.36652498274937345,44.86,0.32372321417228955,0.27351247600767753,0.05021073816461202,0.508637236084453,0.2255278310940499,0.2658349328214971
M2_Elo,one_per,0.05,993,0.09531722054380666,-0.042692849949647525,0.24318756294058408,5.233464249748238,0.3549378093888732,-0.012418925603868645,0.003004423249176272,0.38153658940921326,49.16,0.32301430345515014,0.2638469284994965,0.05916737495565366,0.5166163141993958,0.2134944612286002,0.26988922457200404
M2_Elo,one_per,0.06,943,0.09697773064687168,-0.051655885471898186,0.23608457051961823,5.330254506892896,0.37086905635787876,-0.011792982160200418,0.0030572702731950377,0.39728742217219165,46.16,0.3219730949855481,0.26193001060445387,0.060043084381094236,0.5259809119830329,0.19724284199363734,0.2767762460233298
M2_Elo,one_per,0.07,909,0.09437843784378439,-0.043581133113311334,0.2550970847084708,5.398305830583058,0.3823024177624224,-0.011441968998846011,0.0032003118582671557,0.4086586256794394,43.15999999999998,0.3216588616373368,0.2585258525852585,0.0631330090520783,0.5368536853685368,0.19141914191419143,0.2717271727172717
M2_Elo,one_per,0.08,860,0.09226744186046512,-0.06835552325581395,0.24159360465116284,5.514720930232558,0.3998137648706383,-0.011405904121302468,0.002738811000975111,0.4266364909152017,44.02999999999999,0.31992309514456924,0.25232558139534883,0.0675975137492204,0.5441860465116279,0.18488372093023256,0.2709302325581395
M2_Elo,one_per,0.1,792,0.0770580808080808,-0.09475126262626263,0.23439898989898988,5.710366161616163,0.42649240897528423,-0.011193921312572469,0.0020231939268407165,0.4539490143862088,48.97000000000003,0.3148469510274016,0.23737373737373738,0.07747321365366425,0.5454545454545454,0.1717171717171717,0.2828282828282828
M3_LGBM_midweek,all,0.02,1655,-0.03693655589123867,-0.13745060422960725,0.06595861027190329,5.369842900302115,0.5078715179003724,-0.015628359478700882,6.521500823854577e-06,0.5424394931618252,77.86000000000001,0.31458812758682514,0.22356495468277945,0.09102317290404568,0.36435045317220544,0.35166163141993956,0.283987915407855
M3_LGBM_midweek,all,0.03,1605,-0.0421619937694704,-0.13209392523364488,0.06099968847352023,5.430654205607477,0.5229269431713373,-0.015725868661453243,-0.000405591759446812,0.5580986911654697,86.76,0.3141842359252277,0.2193146417445483,0.09486959418067942,0.3663551401869159,0.34641744548286607,0.2872274143302181
M3_LGBM_midweek,all,0.04,1550,-0.04154193548387096,-0.1474266129032258,0.06201854838709674,5.494541935483871,0.5402392884008579,-0.015961442234497972,-0.000869736761976145,0.5762052468723199,86.34000000000002,0.3145229251217433,0.2167741935483871,0.0977487315733562,0.37290322580645163,0.3387096774193548,0.28838709677419355
M3_LGBM_midweek,all,0.05,1502,-0.04767643142476697,-0.15279727030625834,0.06941711051930756,5.561977363515313,0.5560444591397552,-0.016027253836809443,-0.0012712054354378196,0.5925453904267354,93.45,0.31376494198325194,0.21171770972037285,0.1020472322628791,0.37283621837549935,0.3355525965379494,0.29161118508655126
M3_LGBM_midweek,all,0.06,1462,-0.04841997264021886,-0.1557785567715458,0.07394887140902871,5.616067031463749,0.5697333920604214,-0.01583036135845012,-0.0012937711214016474,0.6064433810449742,91.1,0.313737549602041,0.20998632010943913,0.10375122949260185,0.3748290013679891,0.3317373461012312,0.29343365253077974
M3_LGBM_midweek,all,0.07,1415,-0.04039575971731448,-0.14599505300353358,0.07411855123674908,5.684233215547703,0.5865076795756066,-0.015159206752283034,-0.0008052414176970306,0.6229657521585533,88.25000000000001,0.3134182608100082,0.20989399293286218,0.103524267877146,0.37809187279151946,0.32296819787985864,0.2989399293286219
M3_LGBM_midweek,all,0.08,1376,-0.031031976744186042,-0.14820803052325582,0.08734375,5.743553779069767,0.6010003004499275,-0.014816667964140934,-0.0007003103661252957,0.6374894661883779,79.56,0.3128568655455594,0.21075581395348839,0.10210105159207103,0.3800872093023256,0.3168604651162791,0.30305232558139533
M3_LGBM_midweek,all,0.1,1291,-0.028559256390395048,-0.14975697134004648,0.08692467079783109,5.879481022463207,0.6346674610725627,-0.014950739369189578,-0.0010784102392074524,0.6723962646577951,71.27000000000001,0.3126381842378697,0.20681642137877615,0.10582176285909356,0.3872966692486445,0.31138652207591017,0.3013168086754454
