season,date,home_team,away_team,y,is_promoted_match,promoted_match_idx,p0_p_away,p0_p_draw,p0_p_home,p1_p_away,p1_p_draw,p1_p_home,p2_p_away,p2_p_draw,p2_p_home,p4_p_away,p4_p_draw,p4_p_home,suppressed_p3
2324,2023-10-22,FC Koln,M'gladbach,2,False,0,0.33469470415715896,0.2693356213574189,0.39596967448542225,0.33469470415715896,0.2693356213574189,0.39596967448542225,0.33469470415715896,0.2693356213574189,0.39596967448542225,0.33469470415715896,0.2693356213574189,0.39596967448542225,False
2324,2023-10-22,Heidenheim,Augsburg,0,True,8,0.3,0.26,0.44,0.3,0.26,0.44,0.2789685227794893,0.21430565896377407,0.5067258182567367,0.29526272373678153,0.2866331120391603,0.4181041642240582,False
2324,2023-10-27,Bochum,Mainz,1,False,0,0.3762575631607323,0.2876903410696872,0.33605209576958056,0.3762575631607323,0.2876903410696872,0.33605209576958056,0.3762575631607323,0.2876903410696872,0.33605209576958056,0.3762575631607323,0.2876903410696872,0.33605209576958056,False
2324,2023-10-28,Werder Bremen,Union Berlin,2,False,0,0.3871784402965401,0.2964635980642578,0.3163579616392021,0.3871784402965401,0.2964635980642578,0.3163579616392021,0.3871784402965401,0.2964635980642578,0.3163579616392021,0.3871784402965401,0.2964635980642578,0.3163579616392021,False
2324,2023-10-28,RB Leipzig,FC Koln,2,False,0,0.11558416216476153,0.20571629443926223,0.6786995433959763,0.11558416216476153,0.20571629443926223,0.6786995433959763,0.11558416216476153,0.20571629443926223,0.6786995433959763,0.11558416216476153,0.20571629443926223,0.6786995433959763,False
2324,2023-10-28,Stuttgart,Hoffenheim,0,False,0,0.3387874312922077,0.27241797063197176,0.3887945980758206,0.3387874312922077,0.27241797063197176,0.3887945980758206,0.3387874312922077,0.27241797063197176,0.3887945980758206,0.3387874312922077,0.27241797063197176,0.3887945980758206,False
2324,2023-10-28,Bayern Munich,Darmstadt,2,True,9,0.018936304739693696,0.0715045590330879,0.9095591362272184,0.018936304739693696,0.0715045590330879,0.9095591362272184,0.022999412001240366,0.06720364722647032,0.9097969407722893,0.0353087493495652,0.08811911046846282,0.876572140181972,False
2324,2023-10-28,M'gladbach,Heidenheim,2,True,9,0.3,0.26,0.44,0.3,0.26,0.44,0.29207293755597014,0.23374351472783858,0.4741835477161913,0.1643111091882441,0.22261605365364662,0.6130728371581093,False
2324,2023-10-28,Augsburg,Wolfsburg,2,False,0,0.4077114873276393,0.29000744900624637,0.3022810636661143,0.4077114873276393,0.29000744900624637,0.3022810636661143,0.4077114873276393,0.29000744900624637,0.3022810636661143,0.4077114873276393,0.29000744900624637,0.3022810636661143,False
2324,2023-10-29,Ein Frankfurt,Dortmund,1,False,0,0.4632693396548273,0.23810119736452162,0.298629462980651,0.4632693396548273,0.23810119736452162,0.298629462980651,0.4632693396548273,0.23810119736452162,0.298629462980651,0.4632693396548273,0.23810119736452162,0.298629462980651,False
2324,2023-10-29,Leverkusen,Freiburg,2,False,0,0.21245628022721677,0.25285644228180754,0.5346872774909758,0.21245628022721677,0.25285644228180754,0.5346872774909758,0.21245628022721677,0.25285644228180754,0.5346872774909758,0.21245628022721677,0.25285644228180754,0.5346872774909758,False
2324,2023-11-03,Darmstadt,Bochum,0,True,10,0.3683369770518506,0.3205791259480986,0.31108389700005085,0.3683369770518506,0.3205791259480986,0.31108389700005085,0.36642820679909166,0.31145852796161677,0.3221132652392916,0.27151484112963653,0.2788684632981759,0.4496166955721876,False
2324,2023-11-04,Union Berlin,Ein Frankfurt,0,False,0,0.25163292250475255,0.2836095035477108,0.4647575739475367,0.25163292250475255,0.2836095035477108,0.4647575739475367,0.25163292250475255,0.2836095035477108,0.4647575739475367,0.25163292250475255,0.2836095035477108,0.4647575739475367,False
