season,date,home_team,away_team,y,dc_p_away,dc_p_draw,dc_p_home,elo_p_away,elo_p_draw,elo_p_home,ps_open_home,ps_open_draw,ps_open_away,ps_close_home,ps_close_draw,ps_close_away
2425,2024-10-19,Hoffenheim,Bochum,2,0.16116997226382537,0.20185023576114308,0.6369797919750316,0.2032514965892002,0.09165133308964708,0.7050971703211527,1.7,4.47,4.45,1.52,4.94,5.89
2425,2024-10-19,Leverkusen,Ein Frankfurt,2,0.14160583941983385,0.2127797656246428,0.6456143949555234,0.14439705615440954,0.06141749874944899,0.7941854450961414,1.45,5.18,6.35,1.47,4.95,6.59
2425,2024-10-19,M'gladbach,Heidenheim,2,0.286034736667858,0.2546227638803371,0.45934249945180494,0.3371915432200438,0.2083387728415121,0.45446968393844417,1.83,3.77,4.44,1.91,3.79,4.11
2425,2024-10-19,Mainz,RB Leipzig,0,0.5012363528659326,0.27246559476353693,0.2262980523705304,0.5381534505727973,0.1623101389093833,0.2995364105178195,4.27,3.71,1.88,4.09,3.96,1.88
2425,2024-10-20,Kiel,Union Berlin,0,0.297,0.253,0.45,0.3457025485279096,0.22263698292440656,0.4316604685476838,3.48,3.43,2.2,3.83,3.51,2.07
2425,2024-10-20,Wolfsburg,Werder Bremen,0,0.24357463424108963,0.27451939208547566,0.48190597367343474,0.306764972950231,0.1697259471632269,0.5235090798865422,2.09,3.66,3.55,2.02,3.79,3.67
2425,2024-10-25,Mainz,M'gladbach,1,0.3041223899026492,0.27004867589625836,0.4258289342010924,0.2723254539442322,0.13802078425999048,0.5896537617957773,2.39,3.79,2.89,2.32,3.76,3.02
2425,2024-10-26,Augsburg,Dortmund,2,0.5650520367416082,0.23159694668304834,0.2033510165753435,0.6182743892674376,0.12558795110316082,0.25613765962940155,3.83,3.92,1.93,4.15,4.15,1.83
2425,2024-10-26,RB Leipzig,Freiburg,2,0.1296369648988862,0.21387888560944993,0.6564841494916639,0.14630372743312153,0.06231225998707967,0.7913840125797988,1.75,4.11,4.55,1.83,3.93,4.39
2425,2024-10-26,St Pauli,Wolfsburg,1,0.297,0.253,0.45,0.3178937856721284,0.18222772416692906,0.4998784901609426,2.66,3.47,2.71,2.61,3.45,2.82
2425,2024-10-26,Stuttgart,Kiel,2,0.297,0.253,0.45,0.1228210040589987,0.05159608820825239,0.8255829077327489,1.23,7.21,11.08,1.2,7.69,13.72
2425,2024-10-26,Werder Bremen,Leverkusen,1,0.5411522584535946,0.25096495921527945,0.20788278233112598,0.6548915727019632,0.1106376621283235,0.23447076516971332,5.84,4.9,1.51,6.48,5.2,1.46
2425,2024-10-27,Bochum,Bayern Munich,0,0.7451939664787202,0.1546331924990378,0.10017284102224198,0.7985297345408957,0.06003620486115481,0.14143406059794947,14.33,9.86,1.15,17.88,9.51,1.13
2425,2024-10-27,Heidenheim,Hoffenheim,1,0.2963177296294665,0.25069254730964785,0.4529897230608856,0.28872565674817596,0.15205222240819422,0.5592221208436299,2.32,3.68,3.03,2.88,3.38,2.6
2425,2024-10-27,Union Berlin,Ein Frankfurt,1,0.32302091701784325,0.299909728187793,0.3770693547943637,0.35342517695386527,0.2380978717941014,0.40847695125203337,2.63,3.32,2.84,2.55,3.22,3.08
2425,2024-11-01,Leverkusen,Stuttgart,1,0.16368875429515492,0.22418624624041197,0.6121249994644331,0.1893930347447688,0.0839751709699064,0.7266317942853249,1.57,4.87,5.29,1.63,4.55,5.05
2425,2024-11-02,Bayern Munich,Union Berlin,2,0.08283414296960254,0.16147999404296992,0.7556858629874277,0.10917267206609088,0.05,0.840827327933909,1.17,8.24,15.58,1.15,8.88,19.22
2425,2024-11-02,Dortmund,RB Leipzig,2,0.30584848850647184,0.25377306593645466,0.4403784455570736,0.35102193749662514,0.232959699695491,0.41601836280788385,2.25,3.69,3.15,2.19,3.84,3.21
2425,2024-11-02,Ein Frankfurt,Bochum,2,0.14922007702033882,0.21548360733590521,0.635296315643756,0.12085606863970776,0.05072714135985253,0.8284167900004397,1.34,6.0,7.96,1.46,4.95,6.59
2425,2024-11-02,Hoffenheim,St Pauli,0,0.297,0.253,0.45,0.2589908262988364,0.127691899587964,0.6133172741131996,1.88,3.9,4.02,1.89,3.86,4.12
2425,2024-11-02,Kiel,Heidenheim,2,0.297,0.253,0.45,0.3589148958043562,0.25136113550573164,0.3897239686899121,2.82,3.52,2.54,2.5,3.39,3.0
2425,2024-11-02,Wolfsburg,Augsburg,1,0.2159294311229363,0.2681433582531032,0.5159272106239605,0.27702945896991416,0.14188083275986202,0.5810897082702239,2.01,3.86,3.59,2.1,3.59,3.67
2425,2024-11-03,Freiburg,Mainz,1,0.25671632758243884,0.2860218479518603,0.4572618244657008,0.2767758438067456,0.14166956674031228,0.5815545894529421,1.7,3.9,5.21,1.77,3.78,4.98
2425,2024-11-03,M'gladbach,Werder Bremen,2,0.2493059278541292,0.24800614908245228,0.5026879230634186,0.33111628434800433,0.19934602052511458,0.46953769512688115,2.14,3.89,3.22,2.34,3.73,3.01
